,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,CD01
C001,0.0,15.898280645196497,6.590641863063636,14.17822363960148,18.891907205715288,16.013847137129844,10.710491190776958,14.287775734732968,8.02674932883876,9.772516392528473,0.6292510710702366,11.938137661731366,4.24628722236564,10.254379845457823,9.883742406710223,7.735522755289948,4.53249398873632,9.547732579278682,7.322766297285091,11.507135495208187,6.776451187776322,10.80311642970292,11.109262911054575,9.829876480906737,16.599433948051225,1.7790725819910433,13.135512420475687,5.446276653370845,6.767495760348171,6.419961140944799,19.22964763025334,1.628182209622664,7.341423205424623,10.377765300387022,11.191029246300511,11.391054456152402,10.999968771382385,4.100138748299142,7.502212331460153,7.43489095257974,11.918108964521247,8.52444812285944,8.529360047222442,3.9580346962864525,8.926746393157105,10.794495007426303,14.851612781885045,7.577336712768496,8.298426808020299,7.807313971242634,8.803462193096719,16.503724270950134,15.239363676335707,13.081308411559183,3.847128888290345,8.513713737307727,5.7900019110204815,13.172164884073192,9.909609742998823,11.02869697277406,9.971523143355228,3.5946646709094248,13.826842883082147,6.941911917161854,9.553520015656089,14.24778595594848,10.809370190201488,13.016191789663873,9.420099197253117,13.60217819591685,7.233377731622991,11.702815091911269,13.472672376512552,10.310479311036543,1.728921590037726,9.96907743598872,19.89560395997948,6.012299017475117,11.933526661650268,13.889723167599819,12.94071427359354,12.133257189435717,14.890707306998305,11.311608857056854,6.078658360838139,16.939876146438724,2.633206195507321,12.86590905783814,14.069296174356873,9.847816883939613,7.077304700416834
C002,15.898280645196497,0.0,18.74952893659497,1.8399963104342913,10.55287665519993,5.949660116128942,5.301682357140013,25.79689748214386,8.623966513286659,9.465017895419434,15.2735403516552,7.6788687707077,18.88154352587757,9.569973151819639,16.118036395720495,19.571013003737406,18.33888021950822,20.148698299546837,22.224188872751398,6.594596032169879,9.403797400858453,20.91018655473495,16.61049361693841,13.246271254709614,22.685880643080186,15.860595553147215,19.904386724965086,17.16374333877606,9.349486574885283,15.283774709633954,9.817049070107808,14.787151437900535,22.91457267492286,16.490114554034516,12.806061411620085,22.951769447030344,18.58868466872599,13.635826690368184,14.10886369807773,9.196403196352923,6.46500444830721,23.772967975778972,12.252631672420625,12.37726220177026,19.282250711709768,24.180657370155505,1.2415535094059384,18.715587906109153,10.19418442849263,11.747859747666359,21.398636278517433,21.621165496430592,21.561594776965542,19.901432326025553,16.329560109866826,17.24261940283456,12.1347424296594,5.653451571544658,17.722494146155576,23.877386485049488,9.653529357483068,12.587284355002472,4.063431470825325,22.178580240874414,24.384135035823657,2.923282342165487,5.095965609967035,21.72432731735291,8.270296053072489,22.384127160844496,12.307176867081917,7.82923204236274,17.214578649386688,5.646314057373083,17.433737125909925,24.600118826462833,10.127597609766626,10.020652942468292,21.136460840853857,19.693514294676977,5.385443047357698,5.919231905177859,21.24896899764253,13.939688439729691,15.612775494512402,21.675230555606053,18.0492000730589,23.675534489251042,18.20274520790281,9.251810512018627,15.057158327252171
C003,6.590641863063636,18.74952893659497,0.0,17.367190699308335,24.27000326666527,20.647743680402893,14.377286432096431,7.960639247349054,12.879765398528336,9.920823310693349,6.851676178097702,12.345054597393657,3.220924864883261,10.126290811347987,5.5442706448257155,1.15670163639492,2.2930213761730824,2.9969874692807204,4.620405365378427,12.686123689876752,11.455697993447211,4.252166335802196,6.5119842121242915,7.434497989103403,10.464780983812044,4.952678327000681,7.25110259537984,1.6423212349960568,11.355709277980626,3.6465915861334195,24.400046385373713,5.960742805636999,6.363322178715392,5.8078682045404015,8.856595738481612,4.956138255717471,5.304432241703345,5.423815314985109,5.208352585028047,9.609063560656509,13.0008533156736,6.267761431636331,7.258021741999055,7.175097577624683,2.5343099619809615,5.434547463707902,17.996401113309595,1.2138510724741822,13.991143960663624,7.31502455767187,2.7119353662755445,10.657312146662504,9.181560741738894,7.188167517706042,3.0704826689744227,3.364497241351054,6.628024403155518,17.792853944738315,4.533996459251492,5.22506261330381,15.631749956967765,7.230999490688253,15.500435391414474,5.142432803588513,6.213165266411736,18.009707889376912,13.967685521880522,6.567508689190587,10.624973335272566,7.103621943037686,13.454390410047644,12.09964958211905,8.825690180732819,13.314354196550706,7.192051288948617,6.2268141343848225,25.035801518153985,9.352431610814184,5.467442957821969,8.223991609598094,14.239166483208027,13.437832726522515,8.86566652468692,8.295189303118429,3.2177941299004367,11.158485112935395,4.751718649630032,6.327118150902562,9.059285090032706,10.104578475879276,13.65762467815764
C004,14.17822363960148,1.8399963104342913,17.367190699308335,0.0,10.047101107367743,5.299922474151297,3.5030365145770617,24.630567613233453,6.787024410599366,8.528716890786235,13.550769316937554,7.1226692476056535,17.30548831495475,8.728652856847905,15.153189994584586,18.241621912464822,16.814869700523907,18.947360473555715,20.666112376142838,5.838622062441211,7.60212905053995,19.778286218010933,15.75598823946668,12.36007708366825,22.0199642053837,14.229877788801884,19.073380669515842,15.7555223964563,7.555846956594238,14.000386437590146,9.482884803609597,13.128152127458364,21.277299511490607,15.562099788179777,12.10899436061757,21.730430014742158,17.618479190736835,12.132692289465139,12.943441272669528,7.758843546104654,5.822487420861886,22.185334472088407,11.204634390731947,10.769918090271027,18.07451250832246,22.800226916923855,0.6733897968156505,17.417993172559374,8.374912814076964,10.59442067321411,20.047884684669004,21.03017283467662,20.8361975274746,19.064903575741436,14.82451543392342,16.095617902865232,10.740620424633631,4.2119618660425155,16.6888230919359,22.546489267680226,7.912027040189772,10.951433911374135,3.92141463286493,20.582355632400787,22.851630880465148,1.6628218657490974,3.460667833049576,20.75404237584116,7.1565208617925045,21.424741025968647,10.480444688091099,7.222311855134266,16.594753517416486,4.077651817199924,15.681863350985934,23.092261322346697,9.898187707613605,8.394662578706745,20.099249473936453,18.957822879599476,4.987412437437611,5.286901326506372,20.509550260110927,13.22277895727986,14.294076550945155,21.128864047656116,16.396027819624862,22.542678688194982,17.588397842252277,8.317993405047448,13.231305990962719
C005,18.891907205715288,10.55287665519993,24.27000326666527,10.047101107367743,0.0,4.74787759804505,10.871352834031805,32.16335903721305,11.393478963883314,17.654623451506808,18.334611011455987,16.873928919642477,22.992623297521195,18.010109280913817,23.768140057078128,25.348761349712817,22.925455996316543,26.579035444765395,26.21005124310445,15.471395790062614,12.817429987465669,27.638596535759223,24.62239859789735,21.317527823277718,31.13099107787404,19.82921660067642,27.879129551937275,22.654050253149013,12.92394269679286,21.633540685722913,1.1566316801150285,18.642260520696613,26.091280437865613,24.254651435350112,21.444407828338207,29.143500597676393,26.104471217512643,18.911585426933787,21.101033952626143,15.592094650281041,15.57083780253518,27.38268965304289,19.85096063872203,17.1049597499406,25.728087493480043,29.378542438162484,9.940190125781212,24.7286885939166,10.593951611269986,19.001348756227316,26.93606462265897,30.30811222812927,29.843351564345244,27.8571792115036,21.260100884578158,24.094472082514525,18.26128216395577,6.929241127251073,25.028525193559453,29.40361031100734,8.925635703059964,17.040108844440077,13.966815039068258,25.822423747672275,28.44520637225631,8.428252649768536,11.818865062118991,29.12121422822618,16.065046115830718,29.803102706697786,12.008732771041993,16.918533583039714,25.915367486524627,12.428569349743633,19.744399761540098,28.851507848715965,1.583110103132514,15.113703403939095,28.27778015319262,27.98874189613386,14.945032770340145,15.0812548334792,29.49292502327678,22.477917279299163,21.752047552766758,30.48583183861926,21.51967420745617,30.285183491322055,26.894324380165347,17.467443279239944,13.835469677177022
C006,16.013847137129844,5.949660116128942,20.647743680402893,5.299922474151297,4.74787759804505,0.0,6.524486412820942,28.372214836197372,8.017817239417031,13.153805661051788,15.406190098004005,12.19397440513314,19.831973886740823,13.467647288542041,19.49828483951622,21.66194242948953,19.59254760722466,22.702523989151665,23.16790835259989,10.811765982881733,9.376032474804978,23.683589472112004,20.26939618332078,16.907828464727643,26.718077694836182,16.62312248646223,23.567273106848443,19.006582877201087,9.435632589965934,17.692142922956112,4.261114645293665,15.430724109587901,23.35474206357037,19.96104484670351,16.911376935486793,25.376981063814352,21.900157344959744,15.223928455547535,16.963007890679204,11.434364331873004,10.88481400752534,24.504375190008503,15.528611881451836,13.519863435012708,21.83418140651539,25.95109012034505,5.220586033457671,20.95459945503808,8.139849767730503,14.745311099165148,23.355794638735674,25.83044911854495,25.465064290743666,23.550213465203424,17.763118482912816,20.052159542730163,14.289386417598545,2.877263412334304,20.86955588075049,25.8628124586271,6.756534498619541,13.544230975295186,9.218963927888613,22.90093824017145,25.414919466819466,3.684888071774499,7.335213086486483,24.981930777323786,11.601953583147768,25.663551514317966,10.081470704560212,12.252911508472344,21.408253621768683,7.984251675629691,17.17092227617275,25.75700372134417,4.758718638677874,11.300250171787729,24.20525095529516,23.594224040882985,10.211529111405557,10.38213791277024,25.12218863624044,17.97727052880868,17.877174598203933,25.979398765686124,18.55487555175812,26.39712368075544,22.395951119139216,12.957442670062942,12.532056216249197
C007,10.710491190776958,5.301682357140013,14.377286432096431,3.5030365145770617,10.871352834031805,6.524486412820942,0.0,21.946234408944203,3.4212969883967057,6.802321870648725,10.081618199398516,6.433128672282041,14.006316124571006,7.189066139955292,12.981175657412207,15.333678010059717,13.596675904643247,16.25693626682709,17.3786032889047,5.012825601820315,4.102920229922157,17.201912314742184,13.781071038171696,10.451187350911624,20.269231294254794,10.868820749124762,17.06467250115437,12.739327552279336,4.053235430778192,11.242403886050194,10.66344259898932,9.734105683143207,17.885426791398853,13.450004070702239,10.598074396914594,18.97511699891951,15.376197537228972,9.001166359857642,10.445139754799042,4.9323874667602405,5.2486929798465995,18.853377724606418,9.021744184285641,7.475364700634812,15.384248030813838,19.77176289976898,4.172229847018489,14.57554026291294,5.3876045049853225,8.222309348059577,17.086620959306327,19.436828650488106,18.99371216890793,17.0459574067886,11.653606091799091,13.55095268738514,7.855590540353378,3.9439361429449113,14.345967361543995,19.59994195358063,5.473950076125392,7.607562172830389,4.975769883194321,17.243356863868236,19.592728663581493,3.661926740471775,1.1253919909365724,18.45839324443029,5.201235457299319,19.139849181619923,7.366325064640311,6.407932193197034,15.049922999740188,1.5956092318719304,12.188683211551398,19.867710440812434,11.224075914116941,5.111088351404665,17.690361405347964,17.131594676800287,5.170454547249297,4.898661707195729,18.64646292019901,11.613765429766206,11.463171722408815,19.617853223291952,12.996581118690969,19.933982680578193,16.026152003157318,6.6220902492368365,10.087541701666918
C008,14.287775734732968,25.79689748214386,7.960639247349054,24.630567613233453,32.16335903721305,28.372214836197372,21.946234408944203,0.0,20.77326637548842,16.398642320318565,14.649461550713605,18.571245712122572,10.174478744839204,16.401382395937148,9.949578991847815,6.838816413640436,9.757269990922964,5.695331429386012,8.37890310120151,19.314583496283092,19.35099136192045,4.902057325649609,9.92521005763484,12.85266596223602,8.004162327773523,12.809257174838713,7.486810298316787,9.532216517454376,19.24061680508932,10.704513193984157,32.24423463346438,13.886646015897814,10.107807641912435,9.725218584234094,13.8096147676127,3.021328270500875,7.6453306394930145,13.251887673423006,11.696286761510956,17.03007343734163,19.539588079914026,8.770118407541714,13.568232445466288,15.064537085314122,6.569930884540301,4.294759753223266,25.214275218724936,7.438915788815141,21.95149778114441,14.056160876979922,5.484455101975634,9.158660175440767,7.624993308958437,7.443214339824138,11.029672950478117,8.55430610997809,14.095315166513734,25.55577147739134,8.229224491566516,3.565087029331346,23.589253833283983,15.156999728871757,22.124727831060635,9.226974077754729,7.410120347566382,25.484589508845765,21.381316053539454,4.99993809783908,17.531231315058893,4.633229832835907,21.36610428516182,18.355562486993623,10.89790873855545,20.70945453099629,14.434846659730782,6.8325380887774365,32.86835296419335,17.105328562051557,5.013665496908789,8.44814245843318,20.765933060820736,20.05047638981586,7.601746613391301,12.783522860299186,10.495815536315412,9.672049436052427,11.948288416363141,2.1793442636238307,10.350158873523842,16.608768363224083,21.32391476029736
C009,8.02674932883876,8.623966513286659,12.879765398528336,6.787024410599366,11.393478963883314,8.017817239417031,3.4212969883967057,20.77326637548842,0.0,7.903305733936594,7.410523423136189,8.531506529752557,11.826242200065364,8.42106648892785,12.859820057125873,13.95528546961848,11.636104735925507,15.218899363557917,15.152358408928645,7.28550888111004,1.424200485923932,16.31148417062105,13.86957610261342,10.858577579300173,20.38326239064425,8.618038228372152,16.96433484275319,11.260843616208918,1.5344000374590834,10.342728087981694,11.534119034030049,7.423015735644545,15.363870936532594,13.380719996852825,11.449655703183772,17.752572674319698,15.036515014914025,7.524927544369531,10.040359939579645,4.936848742350698,7.638778396532428,16.489868327009194,9.225714185164406,5.711507915804032,14.378527464710478,18.05502539514808,7.429433734236464,13.343789052062569,2.3529990658553266,8.262366289066184,15.555949833733887,19.754284631673716,19.03459561851185,16.933365756151403,9.890456086996346,12.859810154581377,7.067126213678169,5.155149447420309,13.913654243157692,18.03703726817629,3.318432422290281,5.656189226037075,8.143439733464236,14.884791063596705,17.400030030501245,6.431287624285855,4.160456843930306,17.934837365607443,6.412903634535961,18.611404649813274,4.042690570517622,8.417170272279273,15.581105048374875,4.099737762401047,9.297900427735094,17.749464611080054,12.178142442034337,3.873169026721087,17.031835019205204,17.253008187182427,7.988191544655171,7.471317304627748,18.67302765117109,12.275723273080711,10.41674915998727,20.02196064246086,10.5404304778768,18.919317625784448,16.495359947403767,7.790342397167562,6.709351740778615
C010,9.772516392528473,9.465017895419434,9.920823310693349,8.528716890786235,17.654623451506808,13.153805661051788,6.802321870648725,16.398642320318565,7.903305733936594,0.0,9.302081670780703,2.444734751494112,11.039554864541644,0.5557961544857613,6.656928937519911,10.54107111137538,10.205197101023368,10.825841753070002,14.074285832519069,2.9159453311923147,7.064089983908744,11.497556876222339,7.228476355073951,3.8316947950070768,13.577640522987004,8.787810170188177,10.54696957874009,8.518161230802784,6.884592990839026,6.277492642658101,17.38181718003297,8.181020733241462,15.26830806651399,7.044936358014455,3.795764752648102,13.635589190263033,9.128243332551888,5.954472933591474,4.838598735573714,3.186950918557802,3.1571557225444846,15.740512273933817,2.837694958272312,5.9133659575313136,9.979515585819557,15.206930224508575,9.035913043496624,9.618851272696022,10.185871673278363,2.6114543605218925,12.388287486723712,12.677712662015013,12.351641135614598,10.53767027284804,8.257057746719969,7.872982856454816,4.096426221492739,10.739939018413553,8.26166730019648,14.771468697001568,11.16671741796416,6.33084815266998,5.736649090239888,14.271779004510085,16.015314625065358,9.711860962665336,5.840833218708896,12.2658667194676,1.6109678963813296,12.929649249462592,11.292643077029318,2.195171414326084,8.264470664239983,5.227022504703884,11.496101466921322,16.10370502997494,17.909342836650605,4.932875045350533,11.673488808990902,10.473803714726973,4.398792453260037,3.6546225619512303,12.01702145648311,4.827883602838134,6.708048345702242,12.837082958912776,10.896847670521277,14.254109838513909,9.248070400471606,0.2132691738248342,13.37024715200819
