StandardizedID,CD01,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014
CD01,0.0,40034.42056736417,13523.939601264621,80164.10900264667,41029.83343900308,49129.377572522324,43167.761977290545,34590.28727796342,55996.75335559882,32737.621886188223,45649.29416329067,61907.5275917044,19354.00644096011,24385.255527252622,56104.821486351066
C001,40034.42056736417,0.0,51141.048277689275,94588.11600694899,51305.48699677603,26338.174390274242,52402.22797777213,72072.33164057805,75314.35319129583,70251.93954739657,20196.951520545554,87310.98800946807,36258.23913231338,23798.81591944061,42459.76158048213
C002,13523.939601264621,51141.048277689275,0.0,88053.63311888056,52301.21463380319,62565.673342818234,38708.6046867472,21385.189249634055,63486.25448278422,30967.23695833289,52576.86967072714,66460.01791413748,20606.421771015048,37853.79873031429,69502.92751520891
C003,80164.10900264667,94588.11600694899,88053.63311888056,0.0,43758.25640873332,74936.13975457176,123305.01661164768,98511.01218537742,24558.55130472629,64937.93318007529,112492.66773569197,28569.152182127295,98840.92421630956,73202.68404205199,60798.317780999656
C004,41029.83343900308,51305.48699677603,52301.21463380319,43758.25640873332,0.0,36108.87850844709,82448.77780549493,69063.76500250262,24587.173618018736,43372.531461745406,68717.52197743331,38641.03364341621,57710.45022129505,29443.36620667323,28714.62697088265
C005,49129.377572522324,26338.174390274242,62565.673342818234,74936.13975457176,36108.87850844709,0.0,75847.72369694474,83722.98164741018,60290.20232697971,70392.37573884569,46482.78797321615,74762.76281004585,54973.29593911594,24745.067432346623,16705.621338296824
C006,43167.761977290545,52402.22797777213,38708.6046867472,123305.01661164768,82448.77780549493,75847.72369694474,0.0,46131.77092599678,99189.59089777386,69617.17543764153,38812.15103614278,104330.39434489136,24730.006196069535,56782.81209621539,89033.62007828242
C007,34590.28727796342,72072.33164057805,21385.189249634055,98511.01218537742,69063.76500250262,83722.98164741018,46131.77092599678,0.0,74460.62115052514,34052.86911633153,70902.9831311692,73027.49173505971,38167.97068265005,58962.815379733074,89568.00567285885
C008,55996.75335559882,75314.35319129583,63486.25448278422,24558.55130472629,24587.173618018736,60290.20232697971,99189.59089777386,74460.62115052514,0.0,41606.764719330255,91581.30803777244,15663.854661411893,74974.25803435508,52305.16665801297,50024.04146164736
C009,32737.621886188223,70251.93954739657,30967.23695833289,64937.93318007529,43372.531461745406,70392.37573884569,69617.17543764153,34052.86911633153,41606.764719330255,0.0,78350.15550808757,38966.74933769508,49948.713169418814,48693.02968899837,69941.24649223291
C010,45649.29416329067,20196.951520545554,52576.86967072714,112492.66773569197,68717.52197743331,46482.78797321615,38812.15103614278,70902.9831311692,91581.30803777244,78350.15550808757,0.0,101976.08757084269,32777.85812434705,39388.48490191181,62659.06689200993
C011,61907.5275917044,87310.98800946807,66460.01791413748,28569.152182127295,38641.03364341621,74762.76281004585,104330.39434489136,73027.49173505971,15663.854661411893,38966.74933769508,101976.08757084269,0.0,81272.3658540438,63633.284113633046,65456.345756990224
C012,19354.00644096011,36258.23913231338,20606.421771015048,98840.92421630956,57710.45022129505,54973.29593911594,24730.006196069535,38167.97068265005,74974.25803435508,49948.713169418814,32777.85812434705,81272.3658540438,0.0,33186.71560600029,66297.29065889106
C013,24385.255527252622,23798.81591944061,37853.79873031429,73202.68404205199,29443.36620667323,24745.067432346623,56782.81209621539,58962.815379733074,52305.16665801297,48693.02968899837,39388.48490191181,63633.284113633046,33186.71560600029,0.0,33270.82451321682
C014,56104.821486351066,42459.76158048213,69502.92751520891,60798.317780999656,28714.62697088265,16705.621338296824,89033.62007828242,89568.00567285885,50024.04146164736,69941.24649223291,62659.06689200993,65456.345756990224,66297.29065889106,33270.82451321682,0.0
