StandardizedID,CD01,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024
CD01,0.0,25.930238243110768,15.943451233050604,9.571508294710268,24.928093954821794,15.948372375036172,14.608028829950607,23.171669127589574,15.98238420769886,22.89012444635072,32.803074226797555,25.672859706467445,8.916945030140129,18.756905363037614,6.009078639445433,25.25162841444115,31.863983415248875,21.825058077113,15.29466309152873,18.32525271521263,5.29365025462582,21.470873341820695,22.606899495232607,6.4689534703699785,28.075075798641283
C001,25.930238243110768,0.0,15.496771958956284,18.67149911284383,1.2118724167725854,13.804528898006211,11.314129891578792,20.968372918823608,14.895173543497657,9.618599434106967,6.916920494376484,13.200148000008559,26.470537334293248,8.060312219514904,21.706266572879752,1.292440074239565,7.089047373812198,5.215496278989088,10.64479552543591,19.828098890627633,25.12129336913489,27.733685986002847,5.005598349188074,22.476461104454682,5.688101254791437
C002,15.943451233050604,15.496771958956284,0.0,6.367025649815462,14.283469271851775,16.210596838429684,8.662865828346382,9.033296891583392,17.289918720487407,19.10542530290715,21.921100554756777,23.43148497692654,12.23652491135437,7.7964225890169665,9.991513340221353,14.306240488338053,22.59283363051457,14.521861905863016,9.68925530085525,5.253837322846439,12.474932462532035,12.961722185123712,10.580015569430527,9.965073956627513,20.26376641694337
C003,9.571508294710268,18.67149911284383,6.367025649815462,0.0,17.51614826798876,13.980418777994016,8.226531385314267,14.27371344833657,14.746731138067993,19.064476115758644,25.55666438677862,22.95739830388666,7.88368396801919,10.694893501562737,3.6857401214394767,17.712174167366868,25.42522657452061,15.89954107807841,9.32419536910995,9.525645026858975,6.664983587523459,15.057073951972729,14.431326568306416,3.978338380136589,22.273613478011324
C004,24.928093954821794,1.2118724167725854,14.283469271851775,17.51614826798876,0.0,13.347147683952013,10.30454165433304,19.868855846907383,14.482820536037394,9.795196323741271,8.032540190369414,13.61939436835277,25.293737133257146,6.872580918689821,20.59642223946371,0.5165937763857046,8.29950027434502,4.896050101001087,9.700033245992833,18.638252392328003,23.99823517856026,26.552861752999835,3.820217602525216,21.344085432781426,6.663163342281013
C005,15.948372375036172,13.804528898006211,16.210596838429684,13.980418777994016,13.347147683952013,0.0,7.633815909024035,25.09560245349951,1.246119381780811,7.17376891325718,19.59308061136076,9.74779357904302,20.860987189783977,11.273015965287273,14.752615844639982,13.843267751042626,17.608386077759796,8.593508912972146,6.795706198413289,21.38950724670904,17.86655061717929,28.499320816149538,13.503128964365475,15.993347759230982,13.455006972262234
C006,14.608028829950607,11.314129891578792,8.662865828346382,8.226531385314267,10.30454165433304,7.633815909024035,0.0,17.452466313951813,8.78212528500617,11.014141414810855,18.207613776507824,15.138821328669371,16.062468683030346,4.784073782977647,10.644580109002046,10.634055494367395,17.569171381162185,7.7461793734455195,1.1393757617718605,13.903321818843773,14.103279146108756,21.337446908513048,8.337110906474056,11.582823398045527,14.15812649528923
C007,23.171669127589574,20.968372918823608,9.033296891583392,14.27371344833657,19.868855846907383,25.09560245349951,17.452466313951813,0.0,26.22074040669257,27.014685507326238,26.017149012333817,31.415023328517503,16.47053372883745,15.101346150177214,17.26712084503497,19.673436175844923,27.732196083572727,21.83725387035991,18.37330316491901,4.840426496147145,18.510959824851227,8.189237065540528,16.144851623871226,16.69387976335611,26.504204201547513
C008,15.98238420769886,14.895173543497657,17.289918720487407,14.746731138067993,14.482820536037394,1.246119381780811,8.78212528500617,26.22074040669257,0.0,7.664702443896125,20.515673527191435,9.699869976715899,21.377683128580784,12.51557035201526,15.253632062859078,14.983970084327934,18.395803849309967,9.674479183409705,7.98765030130347,22.434371821740758,18.253066227035852,29.43409376345262,14.736264460667906,16.51523918938583,14.218235452065997
C009,22.89012444635072,9.618599434106967,19.10542530290715,19.064476115758644,9.795196323741271,7.17376891325718,11.014141414810855,27.014685507326238,7.664702443896125,0.0,13.650616183253547,4.387991697201964,26.66888863709241,11.894789112358279,20.76698283833065,10.29583530269498,11.058879043234533,5.477910930772719,9.873677668352226,24.310203700500985,24.11773179106663,32.077080077806066,11.964371193908468,21.90531427737017,6.9128087712999715
